% Blk Total Students,% Hisp Total Students, Total Enroll ,% Grad Enroll,Six-year graduation rate, ACT/ SAT Avg ,Fresh Admit Rate,% Freshmen Retention,% UG Pell Grants,% Bachelors,% Doct/ Profess,Total E&G Expend,E&G / St. FTE,State Approp Rev,Tuition/Fee Rev ,% Rev from State,% Rev from Tuit/Fees,% from State / Tuition,Endowment,Total Research Expenditures ($000),Student Faculty Ratio,Total Faculty,ARU Faculty Awards, ST. FTE ,Total Degrees,Total Expend,Total Revenue,Enowment / St. FTE,Total Research Exp - Med School Exp ($000),Total Tenure /Tenure-Track Facutly,Facutly FTE,% UG with Loans, % Full-Time , UG Total Enroll , GR Total Enroll , Full-time Students , Part-time Students ,UG Enroll Age 25 +,GR Enroll Age 25 +,Bach Degrees,Masters Degrees,Doctoral Degrees,ACT/ SAT 25%,ACT/ SAT 75%,(State/ Tuit)/ St. FTE,Academic Support Expenditures,Student Services Expenditures,Endowment Figure,Endowment per Student FTE,Total Faculty,Total Tenure /Tenure-Track Facutly
6,4,34015,29,75,27.5,50,93,21,64,7,1145457853,46212,481548424,270139559,33,19,52,998600000,468293,15,1965,14,29183,8657,1348601157,1449454784,35429,468293,1360,1802,41,79,24111,9904,26767,7248,2121,6767,5555,2338,512,25,30,25758,885055000,30328,885055000,30328,1690,1350
4,6,47307,14,86,26.5,51,93,13,84,6,3027334000,106475,399783000,1696729000,8,32,40,3742900000,791031,16,3540,21,46042,13013,4902341000,5293400000,81293,698465,1608,3051,49,96,40742,6565,45410,1897,991,4521,10876,1342,673,24,29,45534,1541078493,44219,1434107000,31148,2787,1608
2,17,35186,20,85,26.5,38,93,38,79,10,2125853500,114412,373591000,460452000,9,11,20,965805389,721077,18,2615,14,34260,9863,3919758000,4081222000,27613,554564,1475,2349,39,96,28257,6929,33797,1389,1642,5002,7762,1123,553,23,30,24345,320745000,9362,320745000,9362,2211,1431
5,4,58663,23,83,29,49,94,17,71,11,2324441728,97197,416187680,811302294,7,14,22,1722216779,817881,19,5093,29,53540,15303,5203887926,5627192064,29036,479769,2407,4094,43,87,45289,13374,50978,7685,3602,8434,10898,2707,832,27,31,22927,3595323149,67153,3595323149,67153,3594,2386
6,17,50645,34,87,28,48,96,27,59,13,2463330000,57442,638531000,375820000,22,13,35,1467823502,739522,20,2998,15,45313,14634,2602872000,2865955000,44229,465988,2078,2647,31,84,33402,17243,42647,7998,1541,11373,8696,3630,778,26,30,22385,1519964000,33544,1519964000,33544,2471,1981
5,8,45842,27,85,28.5,66,93,21,66,9,2257275682,59986,258640256,719151731,10,27,37,1489990976,639817,19,2593,29,43118,13041,2586487077,2646806576,32503,639817,1835,2383,38,91,33368,12474,41756,4086,674,7540,8621,3286,829,26,31,22677,1289584273,29908,1289584273,29908,2278,1799
2,5,42716,27,85,29,58,96,12,71,12,2175188662,63725,387773287,413841600,15,16,31,2739728036,1069077,18,4363,26,39792,12406,2535761218,2546274588,70553,763051,2107,3746,35,90,30991,11725,38330,4386,1577,8020,8747,2153,857,27,31,20145,3133196699,78739,3133196699,78739,3393,1982
2,12,38189,28,92,31,17,96,26,71,10,2398394750,72157,344389000,730157000,12,26,38,3845280801,788505,17,2337,32,36703,12067,2648373000,2845717000,103398,788505,1404,1900,26,94,27496,10693,35960,2229,1686,8091,8516,2386,826,28,34,29277,1671939000,45553,1671939000,45553,1650,1381
3,18,41908,29,91,29.5,17,96,30,66,11,3937954640,154179,473116000,668355000,7,10,17,3849133252,1021227,16,4395,33,40967,12749,6316298000,6630992000,90249,472843,1731,3682,35,97,29585,12323,40497,1411,1517,8892,8373,2992,774,26,33,27863,1616045000,39447,1616045000,39447,3290,1688
2,24,23497,12,81,27.5,33,93,38,86,6,809412478,43285,185034000,325013000,19,33,51,279311267,222870,17,1103,11,23150,6225,1002033000,998909000,11993,222870,810,983,40,98,20607,2890,22976,521,464,2027,5357,519,349,24,31,22033,144379000,6237,144379000,6237,923,803
11,8,38140,28,86,29.5,45,95,14,70,6,1471736805,50307,466392497,434750774,26,24,50,466074705,505699,17,2488,11,35047,10955,1763134901,1813041454,14163,505699,1410,2038,34,88,27443,10697,33501,4639,1793,7582,7700,2562,654,27,32,25712,487268756,13903,487268756,13903,1813,1376
4,5,43651,35,90,31,26,97,13,58,12,2828120000,154853,295174000,990071000,4,15,19,9743461082,1369278,12,7703,50,41960,14005,6497563000,6713333000,176970,805834,2934,6713,32,94,28312,15339,41114,2537,498,9541,8097,4296,882,29,33,30630,9603919000,228885,9603919000,228885,6218,2744
8,7,29084,37,90,30.5,31,97,20,64,13,2172914100,116880,479186534,395005214,15,13,28,2899973752,966781,14,1966,21,25741,9261,3008647399,3099203311,105385,432593,1215,1816,32,83,18415,10669,24070,5014,710,7951,5901,2141,519,28,33,33961,2659759286,103326,2659759286,103326,1731,1209
5,3,28649,34,82,28,54,92,15,61,13,1819598000,73917,184905000,580633000,9,28,37,3546458000,861205,15,4640,28,26526,8617,1960705000,2060915000,108406,240100,1597,4168,54,89,18908,9741,25464,3185,1132,6259,5232,2295,438,26,30,28860,1541078493,44219,3610395000,136109,3932,1565
4,20,50950,22,80,29,39,95,22,68,10,2111270659,52969,829369276,471983244,30,17,47,10935780996,650608,18,3043,17,48321,14070,2559511752,2763545564,234176,646273,1855,2833,36,92,39619,11331,47007,3943,1694,7835,9503,3188,899,26,32,26931,3376824061,69883,3376824061,69883,2728,1855
6,5,23883,30,93,30.5,30,97,12,64,12,1226864767,125365,136725428,479424150,4,15,19,5852308928,373218,15,2285,11,22459,7463,2815575207,3201054439,27987,154425,1392,2180,26,91,16736,7147,21747,2136,762,4946,4812,1760,366,28,33,27434,5876310216,261646,5876310216,261646,2127,1387
2,7,45408,32,84,27.5,53,94,21,63,10,3014445149,113431,255156233,914419476,5,18,23,2968012527,1180563,20,4559,39,41851,13344,4747225369,4982563228,53035,645304,2910,3899,30,88,31063,14345,40073,5335,2811,10970,8343,3606,841,24,31,27946,2915057707,69653,2915057707,69653,3569,2554
