% Blk Total Students,% Hisp Total Students, Total Enroll ,% Grad Enroll,Six-year graduation rate, ACT/ SAT Avg ,Fresh Admit Rate,% Freshmen Retention,% UG Pell Grants,% Bachelors,% Doct/ Profess,Total E&G Expend,E&G / St. FTE,State Approp Rev,Tuition/Fee Rev ,% Rev from State,% Rev from Tuit/Fees,% from State / Tuition,Endowment,Total Research Expenditures ($000),Student Faculty Ratio,Total Faculty,ARU Faculty Awards, ST. FTE ,Total Degrees,Total Expend,Total Revenue,Enowment / St. FTE,Total Research Exp - Med School Exp ($000),Total Tenure /Tenure-Track Facutly,Facutly FTE,% UG with Loans, % Full-Time , UG Total Enroll , GR Total Enroll , Full-time Students , Part-time Students ,UG Enroll Age 25 +,GR Enroll Age 25 +,Bach Degrees,Masters Degrees,Doctoral Degrees,ACT/ SAT 25%,ACT/ SAT 75%,(State/ Tuit)/ St. FTE,Academic Support Expenditures,Student Services Expenditures,Endowment Figure,Endowment per Student FTE,Total Faculty,Total Tenure /Tenure-Track Facutly
-0.706559555,-0.731683216,0.041452698,-1.206215388,-0.609732652,-1.060031653,1.499368588,-0.742546046,-0.361791358,1.701117347,-1.028806161,-0.707924471,-0.89611963,-0.373891003,-0.579034058,0.390359296,0.170518025,0.375240528,-0.486661629,-0.596837621,0.449229595,-0.489795226,-0.437994237,0.136055935,-0.551407645,-0.714036856,-0.717109222,-0.523224383,-0.287432107,-0.11414782,-0.480298388,1.533203954,0.658204646,0.418097316,-0.805451815,0.187347462,-0.544131704,-0.146741664,-0.820299009,-0.139749142,-1.160238325,-0.660782142,-1.085748795,-1.061700081,-1.296234472,-0.431966038,-0.483680685,-0.422782173,-0.474181069,-0.43540614,-0.130746973
0.208756232,-0.731683216,-0.126079378,0.820554686,-0.17118677,0.25348583,-0.480699259,0.559765481,-0.233703735,-1.030254168,-0.655290548,-0.418505359,-0.560356253,0.840085634,-0.771241883,1.87372462,-0.496508367,0.817765565,-0.382218306,-0.074457452,-1.079492012,-0.413865047,-0.049423474,-0.330181889,-0.16981331,-0.583112404,-0.570595072,-0.219290701,0.471483276,-0.046164269,-0.364086566,0.051973015,-1.41650493,-0.349959518,0.407964754,-0.44063711,1.15748087,0.438299469,0.358358829,-0.437584343,0.54166788,0.172002588,0.342428466,0.080128308,0.311929939,-0.337920264,-0.288440297,-0.330196008,-0.286040317,-0.324840853,0.010359213
-0.401454293,-0.428367265,1.184595344,-1.518026168,1.034814407,-0.271921163,-0.427183912,0.559765481,-1.258404725,2.004603071,-1.028806161,2.046952476,1.217841164,0.410745009,4.74326912,-0.978901004,0.742254932,-0.067284509,0.821378572,0.965155364,-0.69731161,0.844977393,0.630575361,1.461136133,1.305097889,2.012681791,2.07339347,0.829747104,1.548644439,0.44971575,0.835488355,1.12923188,1.52266697,1.806642407,-0.551220361,1.601846558,-1.100225275,-0.640161348,-0.578726305,2.253045719,-0.639585486,0.933811346,-0.133630621,-0.490785887,3.937449707,-9.94048E-11,-1.27496E-05,-0.051766582,-0.269633274,0.852733133,0.570442226
-1.011664818,1.239870468,-0.01061142,-0.582593827,0.925177936,-0.271921163,-1.122883426,0.559765481,1.94378587,1.245888761,0.465256289,0.865917175,1.452040472,0.273213897,-0.035585205,-0.864795979,-1.258824242,-1.542367965,-0.396601387,0.739817552,0.067049193,0.10565723,-0.049423474,0.209264199,0.238529873,1.294963736,1.239618647,-0.398064456,0.87521514,0.183780095,0.161267703,-0.217341701,1.52266697,0.187667298,-0.446655107,0.32955332,-1.314561796,-0.01885339,-0.378041555,0.678412753,-0.899318907,0.366003576,-0.609689708,0.080128308,0.052885672,-0.628598549,-0.723770508,-0.616362909,-0.705540372,0.234426282,0.186199228
-0.09634903,-0.731683216,2.3043683,-0.114877656,0.705904995,1.04159632,-0.534214607,0.776817402,-0.74605423,0.031945866,0.838771902,1.126088867,0.944072589,0.496884054,1.320633867,-1.093006029,-0.972955789,-1.394859619,-0.064853988,1.051645347,0.449229595,2.086236003,1.407716886,2.257820547,2.080475907,2.232943767,2.302986334,-0.365516471,0.525188772,2.047329199,1.837215051,0.321287732,-0.033365212,2.396268343,1.404781868,2.211863672,1.341860908,1.851751212,1.053871259,2.264170294,0.979300904,1.686156641,1.294546641,0.651042503,-0.207075242,1.058149446,0.47618028,1.044206426,0.450775936,1.719006793,2.259374725
0.208756232,1.239870468,1.513743118,1.600081637,1.144450877,0.516189327,-0.587729954,1.210921244,0.534822008,-1.788968478,1.585803127,1.30804727,-0.228989461,1.664382679,-0.362731952,0.618569346,-1.068245273,-0.436055373,-0.176425957,0.79923311,0.831409996,0.411775741,0.047719216,1.383677753,1.853957176,0.333057354,0.403719111,-0.018010118,0.460696314,1.389488367,0.44747533,-1.294600565,-0.552042607,0.854838058,2.516218588,1.299138711,1.473922583,-0.115246791,2.280092634,1.15070151,2.073976463,1.430643145,0.818487553,0.080128308,-0.30643971,-0.010876158,-0.221664472,-0.008227691,-0.221692698,0.513523124,1.380174645
-0.09634903,-0.125051313,1.040137138,0.508743905,0.925177936,0.778892823,0.375546296,0.559765481,-0.233703735,-0.726768444,0.091740677,1.038094206,-0.153922932,-0.330378941,0.964423958,-0.750690954,0.265807509,-0.288547027,-0.166703732,0.478060531,0.449229595,0.088073399,1.407716886,1.150452587,1.314578494,0.321089149,0.252981811,-0.286216496,1.274182958,0.903605929,0.193922264,-0.351999059,0.658204646,0.850429155,1.146241406,1.201522826,-0.176637394,-0.94270301,0.680872991,1.112776824,1.665993373,1.671961447,0.818487553,0.651042503,-0.252907561,-0.129545655,-0.297161021,-0.125055414,-0.294443923,0.306347391,0.985077325
-1.011664818,-0.58002524,0.731893896,0.508743905,0.925177936,1.04159632,-0.052576481,1.210921244,-1.386492349,0.031945866,1.212287514,0.930551482,-0.043595199,0.347683418,-0.21575867,-0.180165829,-0.78237682,-0.731072064,0.38140676,1.86080504,0.067049193,1.502772522,1.116288814,0.797055367,1.099571925,0.284036946,0.183832692,0.5840933,1.850894629,1.447474337,1.502986009,-0.755971133,0.485312182,0.542194967,0.931078289,0.826178244,-0.050060709,-0.080888747,0.881140518,1.176490297,0.322258369,1.804449927,1.294546641,0.651042503,-0.717097289,0.820106306,0.716747667,0.809857763,0.682595436,1.503243465,1.38234551
-1.011664818,0.481580589,0.28550325,0.664649295,1.69263323,2.092410307,-2.246705718,1.210921244,0.406734384,0.031945866,0.465256289,1.222975189,0.205210214,0.11987763,1.006965054,-0.522480904,0.170518025,-0.214792854,0.86628081,0.957018541,-0.315131208,-0.116538452,1.699144958,0.468840089,0.984788891,0.366293111,0.389798767,1.335350206,1.970014506,0.041814444,-0.269964595,-1.967887356,1.176882041,0.088985676,0.634618559,0.566526563,-0.960147077,0.023139774,0.910763422,1.059682264,0.598595753,1.657766253,1.770605728,2.363785087,0.957065662,0.067406758,0.027685929,0.068840259,0.018590435,-0.367778828,0.077656009
-0.706559555,1.391528443,0.652220018,0.820554686,1.582996759,1.304299817,-2.246705718,1.210921244,0.919084879,-0.726768444,0.838771902,3.239962332,2.62545661,0.795807968,0.768068144,-1.093006029,-1.354113727,-1.763630483,0.867970421,1.70666926,-0.69731161,1.528349004,1.796287649,0.921902551,1.215709332,3.045492727,2.993432056,1.034595843,0.49277641,0.695656244,1.4415186,-0.755971133,1.695559435,0.359873862,1.102864062,1.063589718,-1.305279506,-0.138152153,1.244959857,0.987372529,1.31731015,1.411716219,0.818487553,1.792870892,0.697838066,0.03861554,-0.099096779,0.040495887,-0.103582003,1.392678178,0.744111378
